gene_id	SRR326279	SRR326280	SRR326281	SRR326282
hsa-miR-1294	0.00	0.00	0.00	0.00
hsa-miR-1295a	0.00	0.00	1.00	0.00
hsa-miR-1295b-3p	0.00	0.00	0.00	0.00
hsa-miR-1295b-5p	0.00	0.00	0.00	0.00
hsa-miR-129-5p	0.00	0.00	0.00	0.00
hsa-miR-1296	0.00	0.00	0.00	0.00
hsa-miR-1297	0.00	0.00	0.00	0.00
hsa-miR-1298	0.00	0.00	0.00	0.00
hsa-miR-1299	0.00	3.00	2.00	7.00
hsa-miR-1301	2.00	1.00	0.00	0.00
hsa-miR-1302	0.00	0.00	0.00	0.00
hsa-miR-1303	0.00	2.00	0.00	0.00
hsa-miR-1304-3p	0.00	0.00	0.00	0.00
hsa-miR-1304-5p	0.00	0.00	0.00	0.00
hsa-miR-1305	1.00	0.00	0.00	0.00
hsa-miR-1306-3p	0.00	0.00	0.00	0.00
hsa-miR-1306-5p	1.00	0.00	0.00	0.00
hsa-miR-1307-3p	4.00	1.00	0.00	0.00
hsa-miR-1307-5p	0.00	0.00	0.00	0.00
hsa-miR-130a-3p	0.00	0.00	0.00	0.00
hsa-miR-130a-5p	0.00	0.00	0.00	0.00
hsa-miR-130b-3p	1.00	2.00	0.00	0.00
hsa-miR-130b-5p	72.00	92.00	10.00	27.00
hsa-miR-1321	0.00	0.00	0.00	0.00
hsa-miR-1322	0.00	0.00	0.00	0.00
hsa-miR-1323	0.00	0.00	0.00	0.00
hsa-miR-132-3p	0.00	1.00	0.00	0.00
hsa-miR-1324	0.00	0.00	0.00	0.00
hsa-miR-132-5p	0.00	0.00	0.00	0.00
hsa-miR-133a	0.00	0.00	0.00	0.00
hsa-miR-133b	0.00	0.00	0.00	0.00
hsa-miR-134	1.00	0.00	0.00	2.00
hsa-miR-1343	0.00	0.00	0.00	0.00
hsa-miR-135a-3p	0.00	0.00	0.00	0.00
hsa-miR-135a-5p	0.00	0.00	1.00	0.00
hsa-miR-135b-3p	195.00	243.00	49.00	131.00
hsa-miR-135b-5p	144.00	167.00	64.00	64.00
hsa-miR-136-3p	0.00	0.00	0.00	0.00
hsa-miR-136-5p	0.00	0.00	0.00	0.00
hsa-miR-137	0.00	0.00	0.00	0.00
hsa-miR-138-1-3p	0.00	0.00	0.00	0.00
hsa-miR-138-2-3p	0.00	0.00	0.00	0.00
hsa-miR-138-5p	0.00	0.00	0.00	0.00
hsa-miR-139-3p	0.00	0.00	0.00	0.00
hsa-miR-139-5p	0.00	0.00	0.00	0.00
hsa-miR-140-3p	21.00	17.00	4.00	6.00
hsa-miR-140-5p	2.00	3.00	2.00	2.00
hsa-miR-141-3p	127.00	149.00	38.00	80.00
hsa-miR-141-5p	0.00	2.00	1.00	0.00
hsa-miR-142-3p	0.00	0.00	0.00	0.00
hsa-miR-142-5p	0.00	0.00	0.00	0.00
hsa-miR-143-3p	3.00	4.00	1.00	1.00
hsa-miR-143-5p	0.00	0.00	0.00	0.00
hsa-miR-144-3p	0.00	0.00	0.00	0.00
hsa-miR-144-5p	0.00	0.00	0.00	0.00
hsa-miR-145-3p	0.00	0.00	0.00	0.00
hsa-miR-145-5p	0.00	0.00	0.00	0.00
hsa-miR-1468	0.00	0.00	0.00	0.00
hsa-miR-1469	0.00	0.00	0.00	0.00
hsa-miR-146a-3p	0.00	0.00	0.00	0.00
hsa-miR-146a-5p	0.00	0.00	0.00	0.00
hsa-miR-146b-3p	0.00	0.00	0.00	0.00
hsa-miR-146b-5p	19.00	37.00	4.00	5.00
hsa-miR-1470	0.00	0.00	0.00	0.00
hsa-miR-1471	0.00	0.00	0.00	0.00
hsa-miR-147a	0.00	0.00	0.00	0.00
hsa-miR-147b	0.00	0.00	0.00	0.00
hsa-miR-148a-3p	59.00	69.00	11.00	20.00
hsa-miR-148a-5p	4.00	3.00	0.00	0.00
hsa-miR-148b-3p	27.00	15.00	5.00	8.00
hsa-miR-148b-5p	1.00	2.00	0.00	0.00
hsa-miR-149-3p	0.00	0.00	0.00	0.00
hsa-miR-149-5p	0.00	0.00	0.00	0.00
hsa-miR-150-3p	0.00	0.00	0.00	0.00
hsa-miR-150-5p	0.00	0.00	0.00	0.00
hsa-miR-151a-3p	108.00	128.00	38.00	52.00
hsa-miR-151a-5p	51.00	78.00	26.00	44.00
hsa-miR-151b	45.00	75.00	24.00	43.00
hsa-miR-152	0.00	0.00	0.00	0.00
hsa-miR-153	0.00	0.00	0.00	0.00
hsa-miR-1537	1.00	0.00	0.00	0.00
hsa-miR-1538	0.00	0.00	0.00	0.00
hsa-miR-1539	0.00	0.00	0.00	0.00
hsa-miR-154-3p	0.00	0.00	0.00	0.00
hsa-miR-154-5p	0.00	0.00	0.00	0.00
hsa-miR-155-3p	0.00	0.00	0.00	0.00
hsa-miR-155-5p	0.00	0.00	0.00	0.00
hsa-miR-1587	0.00	0.00	0.00	0.00
hsa-miR-15a-3p	0.00	0.00	0.00	0.00
hsa-miR-15a-5p	3.00	5.00	1.00	2.00
hsa-miR-15b-3p	0.00	0.00	0.00	0.00
hsa-miR-15b-5p	0.00	0.00	0.00	0.00
hsa-miR-16-1-3p	0.00	0.00	0.00	0.00
hsa-miR-16-2-3p	0.00	1.00	0.00	0.00
hsa-miR-16-5p	2.00	2.00	1.00	1.00
hsa-miR-17-3p	0.00	6.00	2.00	0.00
hsa-miR-17-5p	2.00	5.00	1.00	1.00
hsa-miR-181a-2-3p	5.00	2.00	0.00	0.00
hsa-miR-181a-3p	4775.00	5271.00	1954.00	2855.00
hsa-miR-181a-5p	37181.00	56505.00	18539.00	35657.00
hsa-miR-181b-3p	311.00	394.00	140.00	235.00
hsa-miR-181b-5p	44022.00	62239.00	17135.00	31253.00
hsa-miR-181c-3p	10.00	9.00	1.00	2.00
hsa-miR-181c-5p	0.00	0.00	0.00	0.00
hsa-miR-181d	27.00	55.00	4.00	11.00
hsa-miR-182-3p	0.00	0.00	0.00	1.00
hsa-miR-1825	0.00	0.00	0.00	0.00
hsa-miR-182-5p	97.00	163.00	65.00	68.00
hsa-miR-1827	18.00	17.00	2.00	5.00
hsa-miR-183-3p	0.00	2.00	0.00	0.00
hsa-miR-183-5p	105.00	127.00	48.00	28.00
hsa-miR-184	1.00	2.00	0.00	2.00
hsa-miR-185-3p	0.00	0.00	0.00	0.00
hsa-miR-185-5p	3.00	7.00	4.00	0.00
hsa-miR-186-3p	25.00	42.00	9.00	22.00
hsa-miR-186-5p	4550.00	5695.00	1994.00	3036.00
hsa-miR-187-3p	0.00	0.00	0.00	0.00
hsa-miR-187-5p	0.00	0.00	0.00	0.00
hsa-miR-188-3p	0.00	0.00	0.00	0.00
hsa-miR-188-5p	2.00	3.00	1.00	0.00
hsa-miR-18a-3p	0.00	1.00	0.00	0.00
hsa-miR-18a-5p	2.00	0.00	0.00	2.00
hsa-miR-18b-3p	0.00	0.00	0.00	0.00
hsa-miR-18b-5p	2.00	0.00	0.00	1.00
hsa-miR-1908	0.00	0.00	0.00	0.00
hsa-miR-1909-3p	0.00	0.00	0.00	0.00
hsa-miR-1909-5p	0.00	0.00	0.00	0.00
hsa-miR-190a	0.00	1.00	0.00	0.00
hsa-miR-190b	269.00	321.00	58.00	130.00
hsa-miR-1910	0.00	0.00	0.00	0.00
hsa-miR-1911-3p	0.00	0.00	0.00	0.00
hsa-miR-1911-5p	0.00	0.00	0.00	0.00
hsa-miR-1912	0.00	0.00	0.00	0.00
hsa-miR-1913	0.00	0.00	0.00	0.00
hsa-miR-191-3p	0.00	0.00	0.00	0.00
hsa-miR-1914-3p	0.00	0.00	0.00	0.00
hsa-miR-1914-5p	0.00	0.00	0.00	0.00
hsa-miR-1915-3p	0.00	0.00	0.00	0.00
hsa-miR-1915-5p	0.00	0.00	0.00	0.00
hsa-miR-191-5p	34.00	52.00	12.00	7.00
hsa-miR-192-3p	0.00	0.00	0.00	0.00
hsa-miR-192-5p	1321.00	2235.00	588.00	1351.00
hsa-miR-193a-3p	0.00	0.00	0.00	0.00
hsa-miR-193a-5p	6.00	5.00	0.00	3.00
hsa-miR-193b-3p	0.00	0.00	0.00	0.00
hsa-miR-193b-5p	1.00	2.00	0.00	0.00
hsa-miR-194-3p	0.00	0.00	0.00	0.00
hsa-miR-194-5p	423.00	558.00	122.00	281.00
hsa-miR-195-3p	0.00	0.00	0.00	0.00
hsa-miR-195-5p	0.00	1.00	0.00	1.00
hsa-miR-196a-3p	1.00	5.00	2.00	1.00
hsa-miR-196a-5p	58.00	84.00	15.00	32.00
hsa-miR-196b-3p	0.00	0.00	0.00	0.00
hsa-miR-196b-5p	137.00	256.00	19.00	29.00
hsa-miR-1972	0.00	0.00	0.00	0.00
hsa-miR-1973	0.00	0.00	0.00	0.00
hsa-miR-197-3p	357.00	296.00	162.00	122.00
hsa-miR-197-5p	12.00	4.00	1.00	3.00
hsa-miR-1976	0.00	0.00	0.00	0.00
hsa-miR-198	0.00	0.00	0.00	0.00
hsa-miR-199a-3p	34.00	40.00	11.00	27.00
hsa-miR-199a-5p	0.00	0.00	1.00	0.00
hsa-miR-199b-3p	34.00	40.00	11.00	27.00
hsa-miR-199b-5p	0.00	0.00	0.00	0.00
hsa-miR-19a-3p	3.00	3.00	0.00	1.00
hsa-miR-19a-5p	0.00	0.00	0.00	0.00
hsa-miR-19b-1-5p	0.00	0.00	0.00	0.00
hsa-miR-19b-2-5p	0.00	0.00	0.00	0.00
hsa-miR-19b-3p	9.00	3.00	0.00	2.00
hsa-miR-200a-3p	10116.00	13536.00	2728.00	6561.00
hsa-miR-200a-5p	1464.00	1844.00	672.00	1040.00
hsa-miR-200b-3p	14642.00	15789.00	4742.00	9008.00
hsa-miR-200b-5p	759.00	917.00	318.00	648.00
hsa-miR-200c-3p	760.00	1598.00	125.00	247.00
hsa-miR-200c-5p	1.00	1.00	1.00	0.00
hsa-miR-202-3p	0.00	0.00	0.00	0.00
hsa-miR-202-5p	0.00	0.00	0.00	0.00
hsa-miR-203a	220.00	366.00	98.00	141.00
hsa-miR-203b-3p	20.00	40.00	11.00	8.00
hsa-miR-203b-5p	0.00	0.00	0.00	0.00
hsa-miR-204-3p	0.00	0.00	0.00	0.00
hsa-miR-204-5p	0.00	0.00	0.00	0.00
hsa-miR-2052	0.00	0.00	0.00	0.00
hsa-miR-2053	0.00	0.00	0.00	0.00
hsa-miR-205-3p	7.00	7.00	7.00	12.00
hsa-miR-2054	0.00	0.00	0.00	0.00
hsa-miR-205-5p	335.00	534.00	75.00	172.00
hsa-miR-206	0.00	0.00	0.00	0.00
hsa-miR-208a	0.00	0.00	0.00	0.00
hsa-miR-208b	0.00	0.00	0.00	0.00
hsa-miR-20a-3p	0.00	0.00	0.00	0.00
hsa-miR-20a-5p	7.00	16.00	3.00	4.00
hsa-miR-20b-3p	0.00	0.00	0.00	0.00
hsa-miR-20b-5p	0.00	0.00	0.00	0.00
hsa-miR-210	0.00	0.00	0.00	0.00
hsa-miR-2110	1.00	0.00	0.00	0.00
hsa-miR-2113	0.00	0.00	0.00	0.00
hsa-miR-211-3p	0.00	0.00	0.00	0.00
hsa-miR-2114-3p	0.00	0.00	0.00	0.00
hsa-miR-2114-5p	0.00	0.00	0.00	0.00
hsa-miR-2115-3p	0.00	0.00	0.00	0.00
hsa-miR-2115-5p	0.00	0.00	0.00	0.00
hsa-miR-211-5p	0.00	0.00	0.00	0.00
hsa-miR-2116-3p	0.00	0.00	0.00	0.00
hsa-miR-2116-5p	0.00	0.00	0.00	0.00
hsa-miR-2117	0.00	0.00	0.00	0.00
hsa-miR-212-3p	0.00	0.00	0.00	0.00
hsa-miR-212-5p	0.00	0.00	0.00	0.00
hsa-miR-21-3p	3.00	9.00	2.00	4.00
hsa-miR-214-3p	0.00	0.00	0.00	0.00
hsa-miR-214-5p	0.00	0.00	0.00	0.00
hsa-miR-215	143.00	174.00	80.00	142.00
hsa-miR-21-5p	822.00	852.00	394.00	299.00
hsa-miR-216a-3p	0.00	0.00	0.00	0.00
hsa-miR-216a-5p	0.00	0.00	0.00	0.00
hsa-miR-216b	0.00	0.00	0.00	0.00
hsa-miR-217	0.00	0.00	0.00	0.00
hsa-miR-218-1-3p	0.00	0.00	0.00	0.00
hsa-miR-218-2-3p	0.00	0.00	0.00	0.00
hsa-miR-218-5p	0.00	0.00	0.00	0.00
hsa-miR-219-1-3p	1.00	0.00	0.00	0.00
hsa-miR-219-2-3p	0.00	0.00	0.00	0.00
hsa-miR-219-5p	0.00	0.00	0.00	0.00
hsa-miR-221-3p	1.00	3.00	0.00	0.00
hsa-miR-221-5p	0.00	0.00	0.00	0.00
hsa-miR-222-3p	0.00	0.00	0.00	0.00
hsa-miR-222-5p	0.00	0.00	0.00	0.00
hsa-miR-223-3p	0.00	0.00	0.00	0.00
hsa-miR-223-5p	0.00	0.00	0.00	0.00
hsa-miR-22-3p	3.00	6.00	1.00	1.00
hsa-miR-224-3p	0.00	0.00	0.00	0.00
hsa-miR-224-5p	0.00	0.00	0.00	0.00
hsa-miR-22-5p	0.00	0.00	0.00	0.00
hsa-miR-2276	0.00	0.00	0.00	0.00
hsa-miR-2277-3p	0.00	0.00	0.00	0.00
hsa-miR-2277-5p	0.00	0.00	0.00	0.00
hsa-miR-2278	0.00	0.00	0.00	0.00
hsa-miR-2355-3p	1.00	0.00	0.00	0.00
hsa-miR-2355-5p	0.00	0.00	0.00	0.00
hsa-miR-2392	0.00	0.00	0.00	0.00
hsa-miR-23a-3p	2.00	1.00	1.00	0.00
hsa-miR-23a-5p	0.00	0.00	0.00	0.00
hsa-miR-23b-3p	1.00	2.00	0.00	0.00
hsa-miR-23b-5p	0.00	0.00	0.00	0.00
hsa-miR-23c	0.00	0.00	0.00	0.00
hsa-miR-24-1-5p	0.00	0.00	0.00	0.00
hsa-miR-24-2-5p	0.00	0.00	0.00	0.00
hsa-miR-24-3p	36.00	59.00	13.00	15.00
hsa-miR-2467-3p	0.00	0.00	0.00	0.00
hsa-miR-2467-5p	0.00	0.00	0.00	0.00
hsa-miR-25-3p	27.00	45.00	12.00	12.00
hsa-miR-25-5p	0.00	0.00	1.00	0.00
hsa-miR-2681-3p	0.00	0.00	0.00	0.00
hsa-miR-2681-5p	0.00	0.00	0.00	0.00
hsa-miR-2682-3p	0.00	0.00	0.00	0.00
hsa-miR-2682-5p	0.00	0.00	0.00	0.00
hsa-miR-26a-1-3p	0.00	0.00	0.00	0.00
hsa-miR-26a-2-3p	0.00	0.00	0.00	0.00
hsa-miR-26a-5p	19.00	16.00	8.00	12.00
hsa-miR-26b-3p	0.00	0.00	0.00	0.00
hsa-miR-26b-5p	9.00	9.00	3.00	3.00
hsa-miR-27a-3p	60.00	77.00	22.00	31.00
hsa-miR-27a-5p	9.00	6.00	3.00	4.00
hsa-miR-27b-3p	115.00	133.00	31.00	73.00
hsa-miR-27b-5p	0.00	0.00	0.00	0.00
hsa-miR-28-3p	72.00	68.00	39.00	38.00
hsa-miR-28-5p	545.00	561.00	188.00	402.00
hsa-miR-2861	0.00	0.00	0.00	0.00
hsa-miR-2909	0.00	0.00	0.00	0.00
hsa-miR-296-3p	1.00	0.00	0.00	0.00
hsa-miR-2964a-3p	0.00	0.00	0.00	0.00
hsa-miR-2964a-5p	0.00	0.00	0.00	0.00
hsa-miR-296-5p	0.00	0.00	0.00	0.00
hsa-miR-297	0.00	0.00	0.00	0.00
hsa-miR-298	0.00	0.00	0.00	0.00
hsa-miR-299-3p	0.00	0.00	0.00	0.00
hsa-miR-299-5p	0.00	0.00	0.00	0.00
hsa-miR-29a-3p	3.00	4.00	2.00	3.00
hsa-miR-29a-5p	0.00	0.00	0.00	0.00
hsa-miR-29b-1-5p	1.00	1.00	0.00	1.00
hsa-miR-29b-2-5p	331.00	377.00	47.00	74.00
hsa-miR-29b-3p	261.00	374.00	102.00	164.00
hsa-miR-29c-3p	308.00	409.00	143.00	297.00
hsa-miR-29c-5p	240.00	286.00	84.00	140.00
hsa-miR-300	0.00	0.00	0.00	0.00
hsa-miR-301a-3p	0.00	0.00	0.00	1.00
hsa-miR-301a-5p	0.00	0.00	0.00	0.00
hsa-miR-301b	0.00	1.00	0.00	0.00
hsa-miR-302a-3p	0.00	0.00	0.00	0.00
hsa-miR-302a-5p	0.00	0.00	0.00	0.00
hsa-miR-302b-3p	0.00	0.00	0.00	0.00
hsa-miR-302b-5p	0.00	0.00	0.00	0.00
hsa-miR-302c-3p	0.00	0.00	0.00	0.00
hsa-miR-302c-5p	0.00	0.00	0.00	0.00
hsa-miR-302d-3p	0.00	0.00	0.00	0.00
hsa-miR-302d-5p	0.00	0.00	0.00	0.00
hsa-miR-302e	0.00	0.00	0.00	0.00
hsa-miR-302f	0.00	0.00	0.00	0.00
hsa-miR-3064-3p	0.00	0.00	0.00	0.00
hsa-miR-3064-5p	0.00	0.00	0.00	0.00
hsa-miR-3065-3p	1.00	2.00	2.00	0.00
hsa-miR-3065-5p	2.00	0.00	0.00	0.00
hsa-miR-3074-3p	0.00	0.00	0.00	0.00
hsa-miR-3074-5p	0.00	0.00	0.00	0.00
hsa-miR-30a-3p	15.00	22.00	11.00	8.00
hsa-miR-30a-5p	180.00	442.00	79.00	126.00
hsa-miR-30b-3p	0.00	0.00	0.00	0.00
hsa-miR-30b-5p	726.00	473.00	320.00	378.00
hsa-miR-30c-1-3p	11.00	17.00	8.00	11.00
hsa-miR-30c-2-3p	0.00	0.00	1.00	2.00
hsa-miR-30c-5p	3633.00	3730.00	1296.00	1924.00
hsa-miR-30d-3p	0.00	0.00	0.00	0.00
hsa-miR-30d-5p	133.00	197.00	45.00	80.00
hsa-miR-30e-3p	5216.00	6922.00	2930.00	4251.00
hsa-miR-30e-5p	24905.00	40442.00	10568.00	19287.00
hsa-miR-3115	9.00	8.00	1.00	5.00
hsa-miR-3116	3.00	0.00	0.00	3.00
hsa-miR-3117-3p	0.00	0.00	0.00	0.00
hsa-miR-3117-5p	0.00	0.00	0.00	0.00
hsa-miR-3118	0.00	0.00	0.00	0.00
hsa-miR-3119	0.00	0.00	0.00	0.00
hsa-miR-3120-3p	1.00	0.00	0.00	0.00
hsa-miR-3120-5p	0.00	0.00	0.00	0.00
hsa-miR-3121-3p	2.00	0.00	0.00	2.00
hsa-miR-3121-5p	0.00	0.00	0.00	0.00
hsa-miR-3122	1.00	0.00	0.00	0.00
hsa-miR-3123	0.00	0.00	0.00	0.00
hsa-miR-3124-3p	0.00	0.00	0.00	0.00
hsa-miR-3124-5p	0.00	0.00	0.00	1.00
hsa-miR-3125	0.00	0.00	0.00	0.00
hsa-miR-3126-3p	0.00	0.00	0.00	0.00
hsa-miR-3126-5p	0.00	0.00	0.00	0.00
hsa-miR-3127-3p	0.00	0.00	0.00	0.00
hsa-miR-3127-5p	0.00	0.00	0.00	2.00
